jacobnorth@jln-tp01-x230-ubuntu:~$ apt list --installed
gdb/disco,now 8.2.91.20190405-0ubuntu3 amd64 [installed,automatic]
gdbserver/disco,now 8.2.91.20190405-0ubuntu3 amd64 [installed,automatic]
gdisk/disco,now 1.0.3-1.1 amd64 [installed,automatic]
gdm3/disco,now 3.32.0-1ubuntu1 amd64 [installed,automatic]
gedit-common/disco-updates,disco-updates,now 3.32.0-3 all [installed,automatic]
gedit/disco-updates,now 3.32.0-3 amd64 [installed,automatic]
genisoimage/disco,now 9:1.1.11-3ubuntu2 amd64 [installed]
geoclue-2.0/disco,now 2.5.2-1ubuntu1 amd64 [installed,automatic]
geoip-database/disco,disco,now 20181108-1 all [installed,automatic]
gettext-base/disco,now 0.19.8.1-9 amd64 [installed,automatic]
gettext/disco,now 0.19.8.1-9 amd64 [installed,automatic]
gfortran-8/disco,now 8.3.0-6ubuntu1 amd64 [installed,automatic]
gfortran/disco,now 4:8.3.0-1ubuntu3 amd64 [installed]
ghostscript-x/disco-updates,disco-security,now 9.26~dfsg+0-0ubuntu7.1 amd64 [installed,automatic]
ghostscript/disco-updates,disco-security,now 9.26~dfsg+0-0ubuntu7.1 amd64 [installed,automatic]
giblib1/disco,now 1.2.4-12 amd64 [installed,automatic]
gimp-data/disco,disco,now 2.10.8-2 all [installed,automatic]
gimp/disco,now 2.10.8-2 amd64 [installed]
gir1.2-accountsservice-1.0/disco,now 0.6.50-0ubuntu1 amd64 [installed,automatic]
gir1.2-atk-1.0/disco,now 2.32.0-1 amd64 [installed,automatic]
gir1.2-atspi-2.0/disco,now 2.32.0-1 amd64 [installed,automatic]
gir1.2-dbusmenu-glib-0.4/disco,now 16.04.1+18.10.20180917-0ubuntu1 amd64 [installed,automatic]
gir1.2-dee-1.0/disco,now 1.2.7+17.10.20170616-4ubuntu1 amd64 [installed,automatic]
gir1.2-freedesktop/disco,now 1.60.1-1 amd64 [installed,automatic]
gir1.2-gck-1/disco,now 3.28.1-2 amd64 [installed,automatic]
gir1.2-gcr-3/disco,now 3.28.1-2 amd64 [installed,automatic]
gir1.2-gdesktopenums-3.0/disco,now 3.31.91-1ubuntu1 amd64 [installed,automatic]
gir1.2-gdkpixbuf-2.0/disco,now 2.38.1+dfsg-1 amd64 [installed,automatic]
gir1.2-gdm-1.0/disco,now 3.32.0-1ubuntu1 amd64 [installed,automatic]
gir1.2-geoclue-2.0/disco,now 2.5.2-1ubuntu1 amd64 [installed,automatic]
gir1.2-glib-2.0/disco,now 1.60.1-1 amd64 [installed,automatic]
gir1.2-gmenu-3.0/disco,now 3.32.0-1ubuntu1 amd64 [installed,automatic]
gir1.2-gnomebluetooth-1.0/disco,now 3.32.1-1 amd64 [installed,automatic]
gir1.2-gnomedesktop-3.0/disco-updates,now 3.32.1-1ubuntu1.2 amd64 [installed,automatic]
gir1.2-goa-1.0/disco,now 3.32.0-1ubuntu1 amd64 [installed,automatic]
gir1.2-gtk-2.0/disco,now 2.24.32-3ubuntu1 amd64 [installed,automatic]
gir1.2-gtk-3.0/disco,now 3.24.8-1ubuntu1 amd64 [installed,automatic]
gir1.2-gtksource-4/disco,now 4.2.0-1 amd64 [installed,automatic]
